Read,DNF,Author,Series Title,#In Series,Title,Page Count,Edition,Digitally Signed,Signed,Sprayed Edges,Hidden Cover,Reversable Dust Jacket,Started Reading,Finished Reading,Rating,Publisher,Gifted
TRUE,TRUE,Adrienne Young,,,The Unmaking of June Farrow,315,Hardback 1st Edition,FALSE,TRUE,FALSE,FALSE,FALSE,,,,Quercus,Clare
TRUE,FALSE,Ali Hazelwood,Bride,1,Bride,396,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,07/10/2024,10/10/2024,5/5,Sphere,Fiona
FALSE,FALSE,Amalie Howard,,,The Starlight Heir,349,Fairyloot,TRUE,FALSE,TRUE,TRUE,TRUE,,,,Avon,
TRUE,FALSE,Amber V. Nicole,Gods & Monsters,1,The Book of Azreal ,473,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,16/08/2023,20/08/2023,5/5,Indie,Milton
TRUE,FALSE,Amber V. Nicole,Gods & Monsters,2,The Throne of Broken Gods,629,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,23/08/2023,01/09/2023,5/5,Indie,Milton
TRUE,FALSE,Amber V. Nicole,Gods & Monsters,1,The Book of Azreal ,577,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,16/08/2023,20/08/2023,5/5,Headline Eternal,
TRUE,FALSE,Amber V. Nicole,Gods & Monsters,2,The Throne of Broken Gods,772,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,23/08/2023,01/09/2023,5/5,Headline Eternal,
TRUE,FALSE,Amber V. Nicole,Gods & Monsters,3,The Dawn of the Cursed Queen,672,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,15/06/2024,20/06/2024,4/5,Headline Eternal,
FALSE,FALSE,Amie Kaufman,The Isles of the Gods,1,The Isles of the Gods,353,Hardback,FALSE,FALSE,FALSE,FALSE,FALSE,,,,Rock the Boat,
TRUE,FALSE,Amy Award,Cocky Kingsman,1,The C*ck Down the Block,321,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,04/11/2023,05/11/2023,4/5,Indie,
TRUE,FALSE,Amy Award,Cocky Kingsman,2,The Wiener Across the Way,389,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,24/01/2024,26/01/2024,4/5,Indie,
TRUE,FALSE,Amy Award,Cocky Kingsman,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE,20/06/2024,22/06/2024,3/5,Indie,
TRUE,FALSE,Ana Huang,King of Sins,1,King of Wrath,379,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,07/02/2023,10/02/2023,5/5,Piatkus,
